data_extracao,arquivo,numero_registros,tamanho_mib,nome_base,camada,dominio,formato,porte_arquivo,registros_por_mib,ano_extracao,mes_extracao
2026-01-09 03:00:07,raw_cnes_estabelecimentos.parquet,598153,68.13,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8779.58,2026,1
2026-01-08 03:00:07,raw_cnes_estabelecimentos.parquet,598084,68.15,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8775.99,2026,1
2026-01-07 03:00:08,raw_cnes_estabelecimentos.parquet,598080,68.15,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8775.94,2026,1
2026-01-04 03:00:08,raw_cnes_estabelecimentos.parquet,598058,68.16,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8774.33,2026,1
2026-01-03 02:11:44,raw_cnes_estabelecimentos.parquet,598030,68.16,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8773.91,2026,1
2026-01-02 03:00:07,raw_cnes_estabelecimentos.parquet,597897,68.11,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8778.4,2026,1
2026-01-01 03:00:06,raw_cnes_estabelecimentos.parquet,597799,68.1,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8778.25,2026,1
2025-12-31 03:00:06,raw_cnes_estabelecimentos.parquet,597785,68.12,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8775.47,2025,12
2025-12-29 03:42:24,raw_cnes_estabelecimentos.parquet,597760,68.11,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8776.39,2025,12
2025-12-27 21:49:09,raw_cnes_estabelecimentos.parquet,597760,67.32,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8879.38,2025,12
2025-12-24 03:00:04,raw_cnes_estabelecimentos.parquet,597384,67.26,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8881.71,2025,12
2025-12-21 03:00:04,raw_cnes_estabelecimentos.parquet,596751,67.19,raw_cnes_estabelecimentos,raw,cnes_estabelecimentos,.parquet,pequeno,8881.54,2025,12
